workerid,spinnerID,payoff1,payoff2,payoff3,prob1,prob2,prob3,win,winProb,angleProp,response,winChoice,EV,PE,happy,sad,anger,surprise,disgust,fear,content,disapp,pcomp1,pcomp2,dummy
AMAOA3GTMDS94,2,0,30,60,0.42,0.31,0.27,30,0.31,0.915,Yay money! There was a big chance that he could have gotten nothing. He should feel relieved.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A1NR95359ACDZD,2,0,30,60,0.42,0.31,0.27,30,0.31,0.553,Wow ;josh i really surprized . he feels like he just beat the odds.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A9DJ4U0G0MAA3,2,0,30,60,0.42,0.31,0.27,30,0.31,0.592,happy. justifies his outcome by saying he could have easily walked away with nothing,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A2ICGX21IQ48M9,2,0,30,60,0.42,0.31,0.27,30,0.31,0.95,Probably relieved that he did not land on the $0 but could have been happy doubling his money. So pretty neutral.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A2QENLAAFQWHPE,2,0,30,60,0.42,0.31,0.27,30,0.31,0.916,Felt ok; 30 is better than zero,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A3VP27UUQ34OXK,2,0,30,60,0.42,0.31,0.27,30,0.31,0.679,Although Charlie is a little sad that he didn't get the $60; he is happy that he is walking away with at least $30.  With such a big chance on the wheel landing on $0; he was nervous that he'd end up with nothing.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
AT0COJ1G23ZB0,2,0,30,60,0.42,0.31,0.27,30,0.31,0.516,I think he feels happy and relived. There was a relatively large chance that he would walk away without winning anything.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A248JGBG1U24Y8,2,0,30,60,0.42,0.31,0.27,30,0.31,0.972,I think he is relieved that he didn't land on $0; but wishes he landed on $60.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A3EBZQ81L976E1,2,0,30,60,0.42,0.31,0.27,30,0.31,0.535,James is relieved that he won $30 as opposed to no money; but he still wishes he would have won the greater amount of money.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
APC3O2O8O9XPO,2,0,30,60,0.42,0.31,0.27,30,0.31,0.201,He felt okay.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A37542RFGGX4Z1,2,0,30,60,0.42,0.31,0.27,30,0.31,0.35,David is pretty happy. He has won something; he could've won nothing.,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A2SJ48G1X5OSN8,2,0,30,60,0.42,0.31,0.27,30,0.31,0.998,Uggggggh - he's probably feeling jipped. This was so close!!!,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
A290W8BVTNK0ZY,2,0,30,60,0.42,0.31,0.27,30,0.31,0.713,Content and satisfied that he won money at all; yet somewhat upset he didnt get the highest amount. ,2,25.5,4.5,5.833333333,2.583333333,2.083333333,4.666666667,1.666666667,1.5,5.25,3.833333333,-0.27312355,0.333986643,0
